,appid,meanPlayers2017,meanPlayers2018,meanPlayers2019,meanPlayers2020
0,578080,1443309,841204,366385,238828
1,570,528727,450816,475222,442868
2,730,347535,317709,396300,660862
3,622590,0,2811,580,587
4,359550,60281,67572,71262,90971
5,271590,96765,53811,68357,115017
6,238960,36946,25700,24548,31492
7,230410,53251,54167,49145,46090
8,440,53575,44092,47716,64964
9,252950,36765,32437,33319,44540
10,252490,34411,31743,46208,56083
11,624090,35120,30730,7045,3928
12,346110,55543,38524,36701,62857
13,4000,30263,27052,25236,30193
14,8930,29601,24489,20892,22434
15,218620,36163,22326,12589,26018
16,227300,23159,15935,16605,20739
17,107410,19125,15795,13358,14983
18,365590,13799,5757,2036,817
19,433850,19979,5685,1064,766
20,377160,20408,18821,12590,14563
21,289070,20861,20372,26623,37195
22,444090,18265,16529,12338,13094
23,105600,21043,17903,21562,53892
24,482730,14244,8562,3298,2443
25,72850,14716,11493,8433,8142
26,304930,18873,13391,14494,21480
27,476620,9822,3474,1008,695
28,10,14084,11520,9610,12603
29,504370,9667,3529,663,617
30,292030,13092,12442,14140,25623
31,381210,14248,17784,20278,32364
32,236850,11973,11616,11358,16494
33,489830,11508,10865,11854,16789
34,306130,10479,11857,13765,20499
35,236390,12418,12152,12476,19488
36,435150,10902,8191,7628,11794
37,394360,11612,13350,15569,20393
38,251570,10583,8179,10548,17784
39,281990,9855,11508,10118,14648
40,550,13647,9683,9389,12916
41,594570,11332,12839,16378,25425
42,221380,10313,8399,8714,8235
43,363970,9302,4819,2466,2914
44,582660,12118,12996,12016,18279
45,255710,8603,9299,10655,14287
46,214950,7029,5808,5187,6206
47,601510,9384,7435,6490,7167
48,386360,7772,7740,8112,13632
49,294100,8037,8350,10547,16335
50,413150,10148,13055,13073,22360
51,582160,7685,3518,1444,2351
52,322330,9337,7631,9181,15181
53,577800,7548,6756,1447,507
54,444200,7766,7905,9904,14099
55,447020,6467,5871,1779,1280
56,480,6337,7291,6843,8912
57,550650,7190,6673,3191,2899
58,427520,8437,7315,7787,8913
59,49520,7950,7295,12823,4584
60,291550,6403,6935,7877,14233
61,48700,7042,6736,6855,7033
62,374320,10134,8777,7489,11568
63,431960,6938,7763,11465,25982
64,268500,5696,4888,4285,5087
65,311290,2100,244,251,205
66,240,5284,4266,3677,4397
67,39210,5394,6298,11864,14606
68,203770,5433,5706,6593,7324
69,356190,4445,2790,2195,2379
70,253920,167,69,58,84
71,378120,4440,3064,1595,1323
72,242760,5662,6047,4891,6913
73,250900,5753,5467,4708,5882
74,227940,5305,3452,2832,2901
75,485510,2866,1271,853,1205
76,219990,4038,3260,4991,5351
77,698780,4061,1109,421,679
